age,background_mortality_prob,mean_background_cost_2019,background_cost_low_ci_2019,background_cost_high_ci_2019,mean_background_cost_2025,background_cost_low_ci_2025,background_cost_high_ci_2025
0,0.005588,2061.79,1553.30,2477.52,2539.54,1913.22,3051.59
1,0.000439,2045.01,1603.13,2418.05,2518.87,1974.60,2978.35
2,0.000283,2034.22,1656.10,2372.31,2505.58,2039.84,2922.01
3,0.000213,2029.50,1706.76,2335.88,2499.76,2102.23,2877.13
4,0.000161,2028.88,1755.06,2306.58,2499.00,2161.73,2841.05
5,0.000149,2032.07,1784.36,2286.27,2502.92,2197.82,2816.03
6,0.000136,2038.71,1813.01,2274.21,2511.11,2233.11,2801.17
7,0.000125,2049.40,1842.31,2266.95,2524.27,2269.20,2792.23
8,0.000113,2063.78,1873.12,2264.25,2541.99,2307.15,2788.90
9,0.000100,2081.98,1906.14,2266.29,2564.40,2347.82,2791.41
10,0.000092,2104.51,1941.92,2281.26,2592.15,2391.88,2809.86
11,0.000101,2131.50,1980.58,2304.00,2625.40,2439.51,2837.86
12,0.000137,2162.62,2026.21,2330.74,2663.73,2495.71,2870.81
13,0.000206,2198.18,2073.23,2361.48,2707.53,2553.62,2908.67
14,0.000299,2238.21,2123.35,2387.76,2756.83,2615.36,2941.03
15,0.000400,2282.92,2173.40,2418.02,2811.91,2677.00,2978.31
16,0.000497,2330.33,2221.72,2453.04,2870.30,2736.53,3021.45
17,0.000587,2381.27,2275.14,2491.61,2933.05,2802.32,3068.95
18,0.000666,2435.78,2331.81,2534.81,3000.19,2872.12,3122.16
19,0.000739,2493.29,2389.88,2591.97,3071.02,2943.65,3192.56
20,0.000817,2553.77,2448.42,2654.34,3145.51,3015.75,3269.38
21,0.000899,2615.46,2515.76,2723.40,3221.49,3098.70,3354.44
22,0.000971,2679.13,2587.54,2794.69,3299.92,3187.11,3442.26
23,0.001031,2745.58,2651.38,2869.04,3381.77,3265.74,3533.84
24,0.001081,2815.76,2718.87,2942.35,3468.21,3348.87,3624.13
25,0.001126,2889.78,2789.55,3017.17,3559.38,3435.93,3716.29
26,0.001177,2968.28,2865.25,3097.19,3656.07,3529.16,3814.85
27,0.001243,3050.31,2943.90,3180.26,3757.11,3626.04,3917.17
28,0.001327,3136.31,3026.25,3278.07,3863.03,3727.47,4037.64
29,0.001422,3225.61,3112.78,3379.40,3973.03,3834.05,4162.46
30,0.001520,3322.73,3208.68,3487.26,4092.65,3952.18,4295.31
31,0.001611,3429.51,3312.55,3604.26,4224.17,4080.11,4439.41
32,0.001693,3537.91,3417.47,3724.73,4357.69,4209.34,4587.81
33,0.001765,3652.41,3527.65,3846.10,4498.72,4345.05,4737.29
34,0.001834,3778.07,3641.06,3969.79,4653.50,4484.75,4889.64
35,0.001904,3905.70,3775.46,4096.43,4810.70,4650.29,5045.63
36,0.001983,4043.25,3902.44,4235.01,4980.13,4806.69,5216.32
37,0.002074,4188.90,4044.44,4384.20,5159.53,4981.59,5400.08
38,0.002179,4347.23,4191.07,4550.25,5354.54,5162.20,5604.60
39,0.002295,4517.10,4354.05,4726.83,5563.78,5362.94,5822.10
40,0.002424,4696.04,4539.24,4911.73,5784.18,5591.05,6049.85
41,0.002557,4888.44,4728.68,5109.00,6021.16,5824.38,6292.83
42,0.002678,5085.97,4919.97,5299.14,6264.45,6059.99,6527.03
43,0.002784,5245.83,5087.83,5455.92,6461.35,6266.76,6720.13
44,0.002888,5388.50,5222.58,5604.94,6637.09,6432.73,6903.68
45,0.003008,5536.11,5361.15,5758.76,6818.90,6603.40,7093.14
46,0.003163,5688.98,5504.15,5917.23,7007.19,6779.53,7288.33
47,0.003356,5847.39,5656.33,6080.13,7202.30,6966.98,7488.98
48,0.003586,6011.67,5817.12,6247.44,7404.66,7165.03,7695.06
49,0.003843,6181.77,5984.10,6418.90,7614.17,7370.69,7906.25
50,0.004120,6357.38,6153.71,6594.02,7830.47,7579.60,8121.94
51,0.004420,6538.28,6327.95,6774.61,8053.29,7794.22,8344.38
52,0.004752,6724.58,6508.05,6969.23,8282.75,8016.05,8584.09
53,0.005130,6916.63,6694.86,7176.64,8519.31,8246.16,8839.57
54,0.005562,7114.98,6884.99,7390.53,8763.62,8480.34,9103.01
55,0.006022,7326.55,7089.04,7599.65,9024.21,8731.67,9360.60
56,0.006524,7547.84,7302.90,7828.55,9296.78,8995.08,9642.53
57,0.007106,7772.20,7517.07,8069.72,9573.12,9258.88,9939.58
58,0.007769,7999.56,7729.89,8314.12,9853.17,9521.01,10240.61
59,0.008476,8229.49,7945.72,8553.42,10136.37,9786.85,10535.36
60,0.009202,8462.08,8164.54,8791.84,10422.86,10056.37,10829.03
61,0.009926,8696.60,8385.52,9031.03,10711.72,10328.56,11123.64
62,0.010656,8932.66,8620.25,9271.25,11002.48,10617.68,11419.52
63,0.011405,9170.01,8858.49,9511.65,11294.82,10911.12,11715.63
64,0.012197,9408.20,9101.80,9752.13,11588.21,11210.81,12011.83
65,0.013054,9646.80,9341.50,9992.80,11882.10,11506.05,12308.27
66,0.014088,9887.01,9573.75,10249.72,12177.96,11792.12,12624.73
67,0.015075,10126.87,9806.35,10510.98,12473.41,12078.62,12946.52
68,0.016150,10366.28,10038.66,10770.70,12768.28,12364.76,13266.42
69,0.017324,10606.24,10269.19,11030.09,13063.85,12648.70,13585.92
70,0.018460,10845.41,10489.96,11289.28,13358.44,12920.63,13905.16
71,0.019921,11083.54,10711.00,11545.46,13651.74,13192.89,14220.70
72,0.021541,11321.66,10932.05,11800.79,13945.04,13465.16,14535.19
73,0.023476,11558.27,11153.33,12054.08,14236.48,13737.71,14847.17
74,0.025685,11793.78,11374.21,12304.60,14526.56,14009.77,15155.74
75,0.028219,12028.96,11595.48,12555.88,14816.23,14282.31,15465.25
76,0.030546,12262.30,11816.10,12801.70,15103.64,14554.05,15768.03
77,0.034523,12494.32,12036.83,13048.29,15389.42,14825.93,16071.76
78,0.037655,12727.62,12257.44,13296.57,15676.78,15097.66,16377.56
79,0.042211,12954.96,12477.37,13534.01,15956.80,15368.55,16670.03
80,0.046538,13184.65,12697.67,13776.69,16239.71,15639.90,16968.94
81,0.052311,13415.47,12917.80,14022.02,16524.01,15911.03,17271.11
82,0.058338,13640.62,13137.43,14259.57,16801.34,16181.55,17563.71
83,0.064645,13863.08,13357.27,14490.53,17075.34,16452.33,17848.18
84,0.071961,14091.16,13541.25,14733.23,17356.28,16678.95,18147.12
85,0.079677,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
86,0.089580,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
87,0.100503,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
88,0.112498,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
89,0.125607,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
90,0.139858,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
91,0.155262,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
92,0.171809,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
93,0.189467,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
94,0.208176,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
95,0.227850,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
96,0.248376,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
97,0.269615,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
98,0.291405,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
99,0.313565,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
100,1.000000,14307.15,13705.65,14956.25,17622.32,16881.44,18421.82
