from_state,F0,F1,F2,F3,F4,HCC,DC,LT,post-LT,Death
F0,0.0,0.015790665917506663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.010527526907288864,0.0,0.020944224991794158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,0.0,0.017511526060348115,0.0,0.015298438203791731,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.0,0.014231100141448683,0.0,0.006644493744965563,0.0002837758225916476,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.007471945180861583,0.0,0.0032059291422619207,0.005664875413107451,0.0,0.0,0.0
HCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025474487907908294,0.0,0.03472660698435959
DC,0.0,0.0,0.0,0.0,0.0,0.0005796758997446139,0.0,0.0019468153956124779,0.0,0.013523415003419137
LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23499443907317163,0.00341134768880591
post-LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
